start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4172 -135_0.236843|-120_0.236872|-105_0.236942|-90_0.237026|-75_0.237121|-60_0.237253|-45_0.237446|-30_0.237712|-15_0.22854|0_0.228902|15_0.229208|30_0.229447|45_0.229611|60_0.229697|75_0.229705|90_0.229633|105_0.229483|120_0.229258|135_0.228963|
[DEBUG] 4173 -135_0.236843|-120_0.236872|-105_0.236942|-90_0.237026|-75_0.237121|-60_0.237253|-45_0.237446|-30_0.237712|-15_0.22854|0_0.228902|15_0.229208|30_0.229447|45_0.229611|60_0.229697|75_0.229705|90_0.229633|105_0.229483|120_0.229258|135_0.228963|
[DEBUG] 4174 -135_0.236989|-120_0.236983|-105_0.237025|-90_0.237097|-75_0.237201|-60_0.237356|-45_0.237577|-30_0.237869|-15_0.228564|0_0.228926|15_0.229231|30_0.229469|45_0.229633|60_0.22972|75_0.229727|90_0.229657|105_0.229508|120_0.229284|135_0.228991|
[DEBUG] 4175 -135_0.236989|-120_0.236983|-105_0.237025|-90_0.237097|-75_0.237201|-60_0.237356|-45_0.237577|-30_0.237869|-15_0.228564|0_0.228926|15_0.229231|30_0.229469|45_0.229633|60_0.22972|75_0.229727|90_0.229657|105_0.229508|120_0.229284|135_0.228991|
[DEBUG] 4176 -135_0.236989|-120_0.236983|-105_0.237025|-90_0.237097|-75_0.237201|-60_0.237356|-45_0.237577|-30_0.237869|-15_0.228564|0_0.228926|15_0.229231|30_0.229469|45_0.229633|60_0.22972|75_0.229727|90_0.229657|105_0.229508|120_0.229284|135_0.228991|
[DEBUG] 4177 -135_0.236797|-120_0.236829|-105_0.236905|-90_0.236993|-75_0.237091|-60_0.237221|-45_0.237409|-30_0.237668|-15_0.228573|0_0.228935|15_0.22924|30_0.229478|45_0.229642|60_0.229729|75_0.229737|90_0.229666|105_0.229518|120_0.229295|135_0.229003|
[DEBUG] 4178 -135_0.236797|-120_0.236829|-105_0.236905|-90_0.236993|-75_0.237091|-60_0.237221|-45_0.237409|-30_0.237668|-15_0.228573|0_0.228935|15_0.22924|30_0.229478|45_0.229642|60_0.229729|75_0.229737|90_0.229666|105_0.229518|120_0.229295|135_0.229003|
[DEBUG] 4179 -135_0.236797|-120_0.236829|-105_0.236905|-90_0.236993|-75_0.237091|-60_0.237221|-45_0.237409|-30_0.237668|-15_0.228573|0_0.228935|15_0.22924|30_0.229478|45_0.229642|60_0.229729|75_0.229737|90_0.229666|105_0.229518|120_0.229295|135_0.229003|
[DEBUG] 4180 -135_0.236963|-120_0.236964|-105_0.237019|-90_0.237104|-75_0.237217|-60_0.237373|-45_0.237588|-30_0.237869|-15_0.228572|0_0.228934|15_0.22924|30_0.229479|45_0.229644|60_0.229732|75_0.229742|90_0.229673|105_0.229526|120_0.229305|135_0.229014|
[DEBUG] 4181 -135_0.236963|-120_0.236964|-105_0.237019|-90_0.237104|-75_0.237217|-60_0.237373|-45_0.237588|-30_0.237869|-15_0.228572|0_0.228934|15_0.22924|30_0.229479|45_0.229644|60_0.229732|75_0.229742|90_0.229673|105_0.229526|120_0.229305|135_0.229014|
